gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,csho,costat,prcc_c
148310,20060831,2006,INDL,C,D,STD,0282B,USD,11.9310,I,
150937,20060630,2006,INDL,C,D,STD,STX,USD,575.9480,A,26.5000
151016,20061231,2006,INDL,C,D,STD,DADE,USD,82.8600,I,39.8100
156861,20061231,2006,INDL,C,D,STD,TPX,USD,83.2220,A,20.4600
160255,20061231,2006,INDL,C,D,STD,HSP,USD,155.8840,I,33.5800
160282,20061231,2006,INDL,C,D,STD,XRM,USD,43.8000,I,9.7900
160570,20061231,2006,INDL,C,D,STD,CVGI,USD,21.3690,A,21.8000
160684,20061231,2006,INDL,C,D,STD,WLK,USD,65.2690,A,31.3800
162264,20061231,2006,INDL,C,D,STD,NP,USD,14.8100,A,35.3200
162401,20061231,2006,INDL,C,D,STD,HUN,USD,220.6520,A,18.9700
163036,20061231,2006,INDL,C,D,STD,BLDR,USD,34.8320,A,17.8300
163113,20061231,2006,INDL,C,D,STD,KOP,USD,20.7300,A,26.0700
163939,20061231,2006,INDL,C,D,STD,ALJ,USD,46.8060,I,26.3100
163948,20061231,2006,INDL,C,D,STD,DRC,USD,85.4770,I,24.4700
164494,20061231,2006,INDL,C,D,STD,SPR,USD,134.6970,A,33.4700
164758,20061231,2006,INDL,C,D,STD,DEIX,USD,25.1640,I,11.4500
